Lastupdated,Status_Timestamp,Zone_Number,Status_Description,KerbsideID,Location
2025-08-08T19:05:39+10:00,2025-06-02T16:37:51+10:00,7571,Unoccupied,65649,"-37.81398180514711, 144.95638776477483"
2025-08-08T19:05:39+10:00,2024-05-15T11:23:20+10:00,,Unoccupied,64345,"-37.81134237989393, 144.9693445760545"
2025-08-08T19:05:39+10:00,2025-06-02T19:11:35+10:00,7571,Unoccupied,65662,"-37.81420996856248, 144.95558927833048"
2025-08-08T19:05:39+10:00,2024-08-17T11:36:51+10:00,7571,Unoccupied,65670,"-37.81427626659823, 144.95535685511834"
2025-08-08T19:05:39+10:00,2025-08-08T15:20:35+10:00,7273,Unoccupied,50659,"-37.8080927945015, 144.9715406070668"
2025-08-08T19:05:39+10:00,2025-08-08T17:55:57+10:00,7275,Unoccupied,50677,"-37.808253443322855, 144.97148527117724"
2025-08-08T19:05:39+10:00,2025-08-08T15:55:31+10:00,7275,Unoccupied,50676,"-37.80830301339912, 144.9715081227749"
2025-08-08T19:05:39+10:00,2025-08-08T18:48:47+10:00,7718,Unoccupied,23809,"-37.801553914437456, 144.95656810521356"
2025-08-08T19:05:39+10:00,2025-02-07T07:52:41+11:00,7712,Unoccupied,11359,"-37.803959541549816, 144.95548989784683"
2025-08-08T19:05:39+10:00,2025-08-08T18:41:22+10:00,7624,Unoccupied,57328,"-37.81290728670532, 144.95399781103544"
2025-08-08T19:05:39+10:00,2024-11-03T16:01:44+11:00,7302,Unoccupied,17838,"-37.818100771376784, 144.98189391235002"
2025-08-08T19:05:39+10:00,2024-11-03T18:27:12+11:00,7302,Unoccupied,17839,"-37.818157000802145, 144.9818842826984"
2025-08-08T19:05:39+10:00,2024-11-03T20:33:16+11:00,7302,Unoccupied,17836,"-37.81798828158783, 144.98191316155962"
2025-08-08T19:05:39+10:00,2024-11-03T17:41:28+11:00,7302,Unoccupied,17824,"-37.81725708725358, 144.98203829240123"
2025-08-08T19:05:39+10:00,2024-11-03T17:07:05+11:00,7302,Unoccupied,17830,"-37.81765078540836, 144.98197075682265"
2025-08-08T19:05:39+10:00,2024-11-03T17:06:43+11:00,7302,Unoccupied,17837,"-37.81804451906652, 144.98190353874162"
2025-08-08T19:05:39+10:00,2024-11-03T18:10:07+11:00,7302,Unoccupied,17834,"-37.817875784818, 144.98193229724149"
2025-08-08T19:05:39+10:00,2023-12-13T01:45:19+11:00,7721,Unoccupied,24045,"-37.804903882241234, 144.95724880963354"
2025-08-08T19:05:39+10:00,2025-08-07T21:10:36+10:00,7721,Unoccupied,23975,"-37.804573308682805, 144.95730719828805"
2025-08-08T19:05:39+10:00,2025-08-08T19:01:22+10:00,7721,Unoccupied,9437,"-37.80476639659502, 144.95738725944153"
2025-08-08T19:05:39+10:00,2025-08-08T17:17:36+10:00,7486,Unoccupied,56917,"-37.81670795860967, 144.95600070841164"
2025-08-08T19:05:39+10:00,2024-12-25T14:54:11+11:00,7163,Unoccupied,24003,"-37.82010620216919, 144.94866027663673"
2025-08-08T19:05:39+10:00,2025-08-08T19:02:34+10:00,7232,Unoccupied,15000,"-37.81362622337333, 144.93935141738922"
2025-08-08T19:05:39+10:00,2025-08-08T16:53:02+10:00,7396,Unoccupied,51154,"-37.81139885127908, 144.97016693209457"
2025-08-08T19:05:39+10:00,2025-08-08T18:51:26+10:00,7792,Unoccupied,58014,"-37.817612595187065, 144.95413131088787"
2025-08-08T19:05:39+10:00,2025-08-07T19:32:06+10:00,7278,Unoccupied,5962,"-37.81213380713007, 144.97742213633714"
2025-08-08T19:05:39+10:00,2025-08-08T16:09:16+10:00,7278,Unoccupied,5961,"-37.812140975123214, 144.97748766724575"
2025-08-08T19:05:39+10:00,2024-11-03T18:49:42+11:00,7270,Unoccupied,24595,"-37.811194546532676, 144.986190389159"
2025-08-08T19:05:39+10:00,2024-11-02T15:33:38+11:00,7255,Unoccupied,17928,"-37.81189356519752, 144.98694334668812"
2025-08-08T19:05:39+10:00,2024-11-03T15:06:25+11:00,7255,Unoccupied,17940,"-37.81198301678096, 144.98775320534077"
2025-08-08T19:05:39+10:00,2024-11-03T14:06:19+11:00,7255,Unoccupied,17932,"-37.811923383155346, 144.98721329934347"
2025-08-08T19:05:39+10:00,2024-11-03T17:05:27+11:00,7255,Unoccupied,17935,"-37.81194574600096, 144.98741576425527"
